resume_text,job_description,qualified
"Full Stack Developer with skills in SQL, PostgreSQL, MySQL, Database Management, Linux, System Administration, Networking, Python, Machine Learning, Deep Learning, TensorFlow, PyTorch, Cloud Computing, AWS, Azure, Google Cloud.","Looking for a Full Stack Developer with experience in Linux, System Administration, Networking, Natural Language Processing, Computer Vision.",1
"Cloud Engineer with skills in JavaScript, React, Angular, Vue.js, Linux, System Administration, Networking, Cybersecurity, Ethical Hacking, Penetration Testing.","Looking for a Cloud Engineer with experience in Cloud Computing, AWS, Azure, Google Cloud, Linux, System Administration, Networking, SQL, PostgreSQL, MySQL, Database Management, Blockchain, Cryptography, Smart Contracts.",0
"Software Engineer with skills in Python, Machine Learning, Deep Learning, TensorFlow, PyTorch, Cybersecurity, Ethical Hacking, Penetration Testing, Natural Language Processing, Computer Vision.","Looking for a Software Engineer with experience in Linux, System Administration, Networking, JavaScript, React, Angular, Vue.js, SQL, PostgreSQL, MySQL, Database Management.",0
"DevOps Engineer with skills in Linux, System Administration, Networking, Docker, Kubernetes, CI/CD, Jenkins, Java, Spring Boot, Microservices, Hibernate.","Looking for a DevOps Engineer with experience in Blockchain, Cryptography, Smart Contracts, Cloud Computing, AWS, Azure, Google Cloud, Python, Machine Learning, Deep Learning, TensorFlow, PyTorch, SQL, PostgreSQL, MySQL, Database Management.",0
"Cloud Engineer with skills in Python, Machine Learning, Deep Learning, TensorFlow, PyTorch, Linux, System Administration, Networking, Natural Language Processing, Computer Vision, Java, Spring Boot, Microservices, Hibernate.","Looking for a Cloud Engineer with experience in Python, Machine Learning, Deep Learning, TensorFlow, PyTorch, Linux, System Administration, Networking, Java, Spring Boot, Microservices, Hibernate, JavaScript, React, Angular, Vue.js.",1
"Database Administrator with skills in JavaScript, React, Angular, Vue.js, Cloud Computing, AWS, Azure, Google Cloud, Blockchain, Cryptography, Smart Contracts.","Looking for a Database Administrator with experience in Blockchain, Cryptography, Smart Contracts, Java, Spring Boot, Microservices, Hibernate.",1
"DevOps Engineer with skills in JavaScript, React, Angular, Vue.js, Docker, Kubernetes, CI/CD, Jenkins, Cybersecurity, Ethical Hacking, Penetration Testing, Blockchain, Cryptography, Smart Contracts.","Looking for a DevOps Engineer with experience in Python, Machine Learning, Deep Learning, TensorFlow, PyTorch, Blockchain, Cryptography, Smart Contracts.",1
"Cloud Engineer with skills in Java, Spring Boot, Microservices, Hibernate, Python, Machine Learning, Deep Learning, TensorFlow, PyTorch, SQL, PostgreSQL, MySQL, Database Management.","Looking for a Cloud Engineer with experience in Blockchain, Cryptography, Smart Contracts, JavaScript, React, Angular, Vue.js.",0
"AI Researcher with skills in Java, Spring Boot, Microservices, Hibernate, Natural Language Processing, Computer Vision, Cloud Computing, AWS, Azure, Google Cloud.","Looking for a AI Researcher with experience in Docker, Kubernetes, CI/CD, Jenkins, Cloud Computing, AWS, Azure, Google Cloud.",1
"IT Support Specialist with skills in Docker, Kubernetes, CI/CD, Jenkins, Linux, System Administration, Networking, Cybersecurity, Ethical Hacking, Penetration Testing.","Looking for a IT Support Specialist with experience in JavaScript, React, Angular, Vue.js, Natural Language Processing, Computer Vision.",0
"Cybersecurity Analyst with skills in JavaScript, React, Angular, Vue.js, Cybersecurity, Ethical Hacking, Penetration Testing.","Looking for a Cybersecurity Analyst with experience in Linux, System Administration, Networking, JavaScript, React, Angular, Vue.js, SQL, PostgreSQL, MySQL, Database Management.",0
"Cloud Engineer with skills in Natural Language Processing, Computer Vision, Cybersecurity, Ethical Hacking, Penetration Testing, Blockchain, Cryptography, Smart Contracts, Python, Machine Learning, Deep Learning, TensorFlow, PyTorch.","Looking for a Cloud Engineer with experience in Natural Language Processing, Computer Vision, Blockchain, Cryptography, Smart Contracts, Cloud Computing, AWS, Azure, Google Cloud, Linux, System Administration, Networking.",1
"Backend Developer with skills in Cloud Computing, AWS, Azure, Google Cloud, JavaScript, React, Angular, Vue.js, Cybersecurity, Ethical Hacking, Penetration Testing, Natural Language Processing, Computer Vision.","Looking for a Backend Developer with experience in JavaScript, React, Angular, Vue.js, Natural Language Processing, Computer Vision.",1
"Cloud Engineer with skills in JavaScript, React, Angular, Vue.js, Natural Language Processing, Computer Vision, SQL, PostgreSQL, MySQL, Database Management.","Looking for a Cloud Engineer with experience in Linux, System Administration, Networking, Cloud Computing, AWS, Azure, Google Cloud.",0
"Software Engineer with skills in Cybersecurity, Ethical Hacking, Penetration Testing, Docker, Kubernetes, CI/CD, Jenkins.","Looking for a Software Engineer with experience in Cybersecurity, Ethical Hacking, Penetration Testing, Docker, Kubernetes, CI/CD, Jenkins, Natural Language Processing, Computer Vision.",1
"Data Scientist with skills in Linux, System Administration, Networking, Blockchain, Cryptography, Smart Contracts, Docker, Kubernetes, CI/CD, Jenkins.","Looking for a Data Scientist with experience in SQL, PostgreSQL, MySQL, Database Management, Linux, System Administration, Networking, Natural Language Processing, Computer Vision, Docker, Kubernetes, CI/CD, Jenkins.",1
"Backend Developer with skills in JavaScript, React, Angular, Vue.js, Docker, Kubernetes, CI/CD, Jenkins.","Looking for a Backend Developer with experience in Python, Machine Learning, Deep Learning, TensorFlow, PyTorch, Docker, Kubernetes, CI/CD, Jenkins.",1
"Software Engineer with skills in Java, Spring Boot, Microservices, Hibernate, Natural Language Processing, Computer Vision, JavaScript, React, Angular, Vue.js, Cybersecurity, Ethical Hacking, Penetration Testing.","Looking for a Software Engineer with experience in Linux, System Administration, Networking, Natural Language Processing, Computer Vision.",1
"Full Stack Developer with skills in Python, Machine Learning, Deep Learning, TensorFlow, PyTorch, Blockchain, Cryptography, Smart Contracts.","Looking for a Full Stack Developer with experience in Blockchain, Cryptography, Smart Contracts, SQL, PostgreSQL, MySQL, Database Management, Cloud Computing, AWS, Azure, Google Cloud, Cybersecurity, Ethical Hacking, Penetration Testing.",0
"Database Administrator with skills in SQL, PostgreSQL, MySQL, Database Management, Cloud Computing, AWS, Azure, Google Cloud, Linux, System Administration, Networking.","Looking for a Database Administrator with experience in JavaScript, React, Angular, Vue.js, Java, Spring Boot, Microservices, Hibernate, Cloud Computing, AWS, Azure, Google Cloud.",0
"Database Administrator with skills in Python, Machine Learning, Deep Learning, TensorFlow, PyTorch, Blockchain, Cryptography, Smart Contracts, SQL, PostgreSQL, MySQL, Database Management.","Looking for a Database Administrator with experience in Linux, System Administration, Networking, Python, Machine Learning, Deep Learning, TensorFlow, PyTorch, Docker, Kubernetes, CI/CD, Jenkins, Cloud Computing, AWS, Azure, Google Cloud.",0
"Cloud Engineer with skills in Natural Language Processing, Computer Vision, Cloud Computing, AWS, Azure, Google Cloud.","Looking for a Cloud Engineer with experience in Docker, Kubernetes, CI/CD, Jenkins, Blockchain, Cryptography, Smart Contracts.",0
"Cloud Engineer with skills in SQL, PostgreSQL, MySQL, Database Management, Cybersecurity, Ethical Hacking, Penetration Testing.","Looking for a Cloud Engineer with experience in Blockchain, Cryptography, Smart Contracts, Python, Machine Learning, Deep Learning, TensorFlow, PyTorch, Cybersecurity, Ethical Hacking, Penetration Testing.",0
"IT Support Specialist with skills in JavaScript, React, Angular, Vue.js, Blockchain, Cryptography, Smart Contracts, Linux, System Administration, Networking.","Looking for a IT Support Specialist with experience in SQL, PostgreSQL, MySQL, Database Management, Docker, Kubernetes, CI/CD, Jenkins, JavaScript, React, Angular, Vue.js, Blockchain, Cryptography, Smart Contracts.",1
"IT Support Specialist with skills in Java, Spring Boot, Microservices, Hibernate, Natural Language Processing, Computer Vision, Blockchain, Cryptography, Smart Contracts, Cybersecurity, Ethical Hacking, Penetration Testing.","Looking for a IT Support Specialist with experience in Blockchain, Cryptography, Smart Contracts, Python, Machine Learning, Deep Learning, TensorFlow, PyTorch.",1
"Software Engineer with skills in Python, Machine Learning, Deep Learning, TensorFlow, PyTorch, Blockchain, Cryptography, Smart Contracts, Natural Language Processing, Computer Vision, Cybersecurity, Ethical Hacking, Penetration Testing.","Looking for a Software Engineer with experience in Blockchain, Cryptography, Smart Contracts, SQL, PostgreSQL, MySQL, Database Management, JavaScript, React, Angular, Vue.js.",0
"Data Scientist with skills in Cybersecurity, Ethical Hacking, Penetration Testing, Cloud Computing, AWS, Azure, Google Cloud.","Looking for a Data Scientist with experience in SQL, PostgreSQL, MySQL, Database Management, JavaScript, React, Angular, Vue.js, Linux, System Administration, Networking, Java, Spring Boot, Microservices, Hibernate.",0
"IT Support Specialist with skills in Cybersecurity, Ethical Hacking, Penetration Testing, Natural Language Processing, Computer Vision, JavaScript, React, Angular, Vue.js, Blockchain, Cryptography, Smart Contracts.","Looking for a IT Support Specialist with experience in SQL, PostgreSQL, MySQL, Database Management, Natural Language Processing, Computer Vision.",1
"Backend Developer with skills in Java, Spring Boot, Microservices, Hibernate, Cloud Computing, AWS, Azure, Google Cloud, JavaScript, React, Angular, Vue.js.","Looking for a Backend Developer with experience in Blockchain, Cryptography, Smart Contracts, Cybersecurity, Ethical Hacking, Penetration Testing.",0
"Software Engineer with skills in Cybersecurity, Ethical Hacking, Penetration Testing, Linux, System Administration, Networking, Java, Spring Boot, Microservices, Hibernate, Natural Language Processing, Computer Vision.","Looking for a Software Engineer with experience in Python, Machine Learning, Deep Learning, TensorFlow, PyTorch, Cloud Computing, AWS, Azure, Google Cloud.",0
"Data Scientist with skills in Natural Language Processing, Computer Vision, JavaScript, React, Angular, Vue.js, SQL, PostgreSQL, MySQL, Database Management, Python, Machine Learning, Deep Learning, TensorFlow, PyTorch.","Looking for a Data Scientist with experience in Blockchain, Cryptography, Smart Contracts, JavaScript, React, Angular, Vue.js, SQL, PostgreSQL, MySQL, Database Management.",1
"Software Engineer with skills in Java, Spring Boot, Microservices, Hibernate, JavaScript, React, Angular, Vue.js, Cybersecurity, Ethical Hacking, Penetration Testing.","Looking for a Software Engineer with experience in JavaScript, React, Angular, Vue.js, Blockchain, Cryptography, Smart Contracts, Natural Language Processing, Computer Vision.",0
"DevOps Engineer with skills in Python, Machine Learning, Deep Learning, TensorFlow, PyTorch, SQL, PostgreSQL, MySQL, Database Management.","Looking for a DevOps Engineer with experience in Python, Machine Learning, Deep Learning, TensorFlow, PyTorch, Java, Spring Boot, Microservices, Hibernate, Linux, System Administration, Networking.",0
"Cybersecurity Analyst with skills in Natural Language Processing, Computer Vision, Blockchain, Cryptography, Smart Contracts, Python, Machine Learning, Deep Learning, TensorFlow, PyTorch.","Looking for a Cybersecurity Analyst with experience in JavaScript, React, Angular, Vue.js, Docker, Kubernetes, CI/CD, Jenkins, Cybersecurity, Ethical Hacking, Penetration Testing, SQL, PostgreSQL, MySQL, Database Management.",0
"Machine Learning Engineer with skills in Cloud Computing, AWS, Azure, Google Cloud, Blockchain, Cryptography, Smart Contracts, Linux, System Administration, Networking, Cybersecurity, Ethical Hacking, Penetration Testing.","Looking for a Machine Learning Engineer with experience in Python, Machine Learning, Deep Learning, TensorFlow, PyTorch, SQL, PostgreSQL, MySQL, Database Management, Blockchain, Cryptography, Smart Contracts.",0
"Backend Developer with skills in Python, Machine Learning, Deep Learning, TensorFlow, PyTorch, SQL, PostgreSQL, MySQL, Database Management.","Looking for a Backend Developer with experience in Docker, Kubernetes, CI/CD, Jenkins, Java, Spring Boot, Microservices, Hibernate.",0
"Database Administrator with skills in SQL, PostgreSQL, MySQL, Database Management, Cloud Computing, AWS, Azure, Google Cloud, Cybersecurity, Ethical Hacking, Penetration Testing, Docker, Kubernetes, CI/CD, Jenkins.","Looking for a Database Administrator with experience in Natural Language Processing, Computer Vision, Blockchain, Cryptography, Smart Contracts.",0
"Frontend Developer with skills in Blockchain, Cryptography, Smart Contracts, Natural Language Processing, Computer Vision, Linux, System Administration, Networking, Python, Machine Learning, Deep Learning, TensorFlow, PyTorch.","Looking for a Frontend Developer with experience in Cloud Computing, AWS, Azure, Google Cloud, JavaScript, React, Angular, Vue.js, Docker, Kubernetes, CI/CD, Jenkins.",0
"Backend Developer with skills in Linux, System Administration, Networking, Docker, Kubernetes, CI/CD, Jenkins, Blockchain, Cryptography, Smart Contracts.","Looking for a Backend Developer with experience in Docker, Kubernetes, CI/CD, Jenkins, Natural Language Processing, Computer Vision.",1
"Cloud Engineer with skills in SQL, PostgreSQL, MySQL, Database Management, Python, Machine Learning, Deep Learning, TensorFlow, PyTorch, JavaScript, React, Angular, Vue.js, Docker, Kubernetes, CI/CD, Jenkins.","Looking for a Cloud Engineer with experience in Linux, System Administration, Networking, Java, Spring Boot, Microservices, Hibernate, Cloud Computing, AWS, Azure, Google Cloud, JavaScript, React, Angular, Vue.js.",0
"Software Engineer with skills in Blockchain, Cryptography, Smart Contracts, Docker, Kubernetes, CI/CD, Jenkins, Natural Language Processing, Computer Vision, SQL, PostgreSQL, MySQL, Database Management.","Looking for a Software Engineer with experience in Cybersecurity, Ethical Hacking, Penetration Testing, Cloud Computing, AWS, Azure, Google Cloud.",0
"Full Stack Developer with skills in Blockchain, Cryptography, Smart Contracts, Python, Machine Learning, Deep Learning, TensorFlow, PyTorch, Cybersecurity, Ethical Hacking, Penetration Testing, SQL, PostgreSQL, MySQL, Database Management.","Looking for a Full Stack Developer with experience in Natural Language Processing, Computer Vision, Linux, System Administration, Networking, Python, Machine Learning, Deep Learning, TensorFlow, PyTorch.",0
"Data Scientist with skills in SQL, PostgreSQL, MySQL, Database Management, Cybersecurity, Ethical Hacking, Penetration Testing.","Looking for a Data Scientist with experience in Python, Machine Learning, Deep Learning, TensorFlow, PyTorch, JavaScript, React, Angular, Vue.js, Cloud Computing, AWS, Azure, Google Cloud.",0
"Full Stack Developer with skills in JavaScript, React, Angular, Vue.js, Docker, Kubernetes, CI/CD, Jenkins, Linux, System Administration, Networking, Cloud Computing, AWS, Azure, Google Cloud.","Looking for a Full Stack Developer with experience in Java, Spring Boot, Microservices, Hibernate, Docker, Kubernetes, CI/CD, Jenkins, Natural Language Processing, Computer Vision, Python, Machine Learning, Deep Learning, TensorFlow, PyTorch.",0
"Cloud Engineer with skills in Python, Machine Learning, Deep Learning, TensorFlow, PyTorch, SQL, PostgreSQL, MySQL, Database Management.","Looking for a Cloud Engineer with experience in Python, Machine Learning, Deep Learning, TensorFlow, PyTorch, JavaScript, React, Angular, Vue.js, Java, Spring Boot, Microservices, Hibernate.",0
"Data Scientist with skills in Cloud Computing, AWS, Azure, Google Cloud, Natural Language Processing, Computer Vision, Cybersecurity, Ethical Hacking, Penetration Testing.","Looking for a Data Scientist with experience in Java, Spring Boot, Microservices, Hibernate, Natural Language Processing, Computer Vision, Cybersecurity, Ethical Hacking, Penetration Testing, Linux, System Administration, Networking.",1
"Software Engineer with skills in Natural Language Processing, Computer Vision, Python, Machine Learning, Deep Learning, TensorFlow, PyTorch, Cybersecurity, Ethical Hacking, Penetration Testing, SQL, PostgreSQL, MySQL, Database Management.","Looking for a Software Engineer with experience in Cybersecurity, Ethical Hacking, Penetration Testing, Blockchain, Cryptography, Smart Contracts.",1
"DevOps Engineer with skills in Docker, Kubernetes, CI/CD, Jenkins, Cloud Computing, AWS, Azure, Google Cloud.","Looking for a DevOps Engineer with experience in Python, Machine Learning, Deep Learning, TensorFlow, PyTorch, Natural Language Processing, Computer Vision, Blockchain, Cryptography, Smart Contracts.",0
"Database Administrator with skills in Cloud Computing, AWS, Azure, Google Cloud, Cybersecurity, Ethical Hacking, Penetration Testing.","Looking for a Database Administrator with experience in Linux, System Administration, Networking, Docker, Kubernetes, CI/CD, Jenkins.",0
"Data Scientist with skills in Docker, Kubernetes, CI/CD, Jenkins, Cloud Computing, AWS, Azure, Google Cloud, Java, Spring Boot, Microservices, Hibernate, Natural Language Processing, Computer Vision.","Looking for a Data Scientist with experience in Blockchain, Cryptography, Smart Contracts, Cybersecurity, Ethical Hacking, Penetration Testing, SQL, PostgreSQL, MySQL, Database Management.",0
"Machine Learning Engineer with skills in Natural Language Processing, Computer Vision, JavaScript, React, Angular, Vue.js.","Looking for a Machine Learning Engineer with experience in Linux, System Administration, Networking, Natural Language Processing, Computer Vision.",1
"Cloud Engineer with skills in Blockchain, Cryptography, Smart Contracts, Docker, Kubernetes, CI/CD, Jenkins, Java, Spring Boot, Microservices, Hibernate, Cloud Computing, AWS, Azure, Google Cloud.","Looking for a Cloud Engineer with experience in Cloud Computing, AWS, Azure, Google Cloud, SQL, PostgreSQL, MySQL, Database Management, Blockchain, Cryptography, Smart Contracts, Docker, Kubernetes, CI/CD, Jenkins.",1
